facebook_page_name,facebook_page_id,instagram_name,instagram_id,current_client_name,current_client_id,suggested_client_name,suggested_client_id,confidence,reason,facebook_account_row_id,instagram_account_row_id
Ferntree Gully KGM,110139291937524,ferntreegullykgm,17841456409566053,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Ferntree Gully Automotive,09164a83-ac69-43a7-9763-27474019f15b,medium,Mapped by known dealership/group naming rule; review before applying.,1fb510c7-6d8a-47ce-8b58-4de2fc4cecdc,c1abc28e-52aa-4a65-bdff-c536a5c1f747
Ferntree Gully MG,698097150051062,ferntreegullymg,17841475905281028,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Ferntree Gully Automotive,09164a83-ac69-43a7-9763-27474019f15b,medium,Mapped by known dealership/group naming rule; review before applying.,f3fdc22c-6b5b-4d4b-8fd2-de386dab9f1f,efcccc58-d265-455c-bb2f-6410d47b4e06
Ferntree Gully Suzuki,106994032666277,ftgsuzuki,17841408473401386,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Ferntree Gully Automotive,09164a83-ac69-43a7-9763-27474019f15b,medium,Mapped by known dealership/group naming rule; review before applying.,ddc9d5c5-2c8b-4252-93ea-1cf72498c68d,2b0bed30-b35d-41eb-a434-8931817e4f5a
Ferntree Gully Volkswagen,1500631960158325,,,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Ferntree Gully Automotive,09164a83-ac69-43a7-9763-27474019f15b,medium,Mapped by known dealership/group naming rule; review before applying.,9a968713-f655-4e44-beaf-2e11309a389e,
Omoda Jaecoo Ferntree Gully,570460249491963,omodajaecooferntreegully,17841473081246030,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Ferntree Gully Automotive,09164a83-ac69-43a7-9763-27474019f15b,medium,Mapped by known dealership/group naming rule; review before applying.,4c3f0920-ebef-4447-83df-2bc0742e57cb,daf26a7d-76ec-4a11-8ff7-1059f093ed28
GWS Kia,115071076574394,,,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Garry and Warren Smith,70f5b134-8fa7-4eb1-b124-1e621a68e0ec,medium,Mapped by known dealership/group naming rule; review before applying.,e93654b0-43e8-4934-aff3-d0e174d86cd9,
GWS Peninsula Honda,115519978260289,,,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Garry and Warren Smith,70f5b134-8fa7-4eb1-b124-1e621a68e0ec,medium,Mapped by known dealership/group naming rule; review before applying.,72841bb9-00b5-4d2c-97f0-a5bbffd6f486,
Blood Hyundai Geelong- LMCT 10477,327999007569038,,,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Geelong Motor Group,ac457852-29ea-478b-86a7-99b55466867e,medium,Mapped by known dealership/group naming rule; review before applying.,506b3f71-0c40-41ca-8770-7bd394fc6954,
Chery Geelong,114430288398082,,,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Geelong Motor Group,ac457852-29ea-478b-86a7-99b55466867e,medium,Mapped by known dealership/group naming rule; review before applying.,1eed8323-afce-4895-ab98-1e24999611e9,
Geelong Kia,108071967261812,,,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Geelong Motor Group,ac457852-29ea-478b-86a7-99b55466867e,medium,Mapped by known dealership/group naming rule; review before applying.,457482a2-81a7-4149-b556-68d2504adfa8,
Kevin Dennis Volkswagen,203375513076388,kevindennis.vw,17841407302293404,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Kevin Dennis Motor Group,f0389862-b5ef-40cc-b772-cda89c0be769,medium,Mapped by known dealership/group naming rule; review before applying.,b64696d6-e683-4bd4-80fe-cd13d7da2300,faafa1e6-8653-4f5a-b5cf-bd23d4587157
JAC Motors Mornington,313750288480849,jacmotorsmornington,17841466320646890,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Mornington Motor Group,17a75bda-9f75-42bf-863b-84eee03bb1e7,medium,Mapped by known dealership/group naming rule; review before applying.,d38ea94f-f5f3-4803-a452-2810cdc7d5d6,5d073d3d-b695-41d4-bfc6-83dd74953079
Mornington Isuzu UTE,110936704949829,morningtonisuzuute,17841453021450878,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Mornington Motor Group,17a75bda-9f75-42bf-863b-84eee03bb1e7,medium,Mapped by known dealership/group naming rule; review before applying.,570dcfbf-8f8c-4625-8690-c5c6113e8c10,80b810fd-a9b4-4218-954a-24d32f5951a0
Mornington Kia,777332332350931,,,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Mornington Motor Group,17a75bda-9f75-42bf-863b-84eee03bb1e7,medium,Mapped by known dealership/group naming rule; review before applying.,6e8b7ac7-1798-406c-bb5f-bea85bd6096a,
Mornington Mitsubishi,107843161364999,morningtonmitsubishi,17841406942511008,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Mornington Motor Group,17a75bda-9f75-42bf-863b-84eee03bb1e7,medium,Mapped by known dealership/group naming rule; review before applying.,8b3176c0-2422-461a-a54b-3c2c6722253f,3a014de5-ebbd-434d-bc2a-db6bfa210421
Mornington Nissan,691035181055416,morningtonnissan,17841456131388592,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Mornington Motor Group,17a75bda-9f75-42bf-863b-84eee03bb1e7,medium,Mapped by known dealership/group naming rule; review before applying.,954c1b66-a23c-4d06-93fc-08fcf967ca8f,84cb1ead-cd72-4b7c-8cea-2c85252ebbf4
North Eastern 4x4 Outdoor,304380716099290,northeastern4x4outdoor,17841406202620323,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,NE 4x4,319e9036-72cf-43b2-bf1e-4ec07563d9c4,medium,Mapped by known dealership/group naming rule; review before applying.,788b504f-1380-4de3-a55c-4e053283e29e,3926510d-1aee-4bbd-8f45-e935f578ecfd
Northern GAC,1052669771255559,northerngac,17841446104848660,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Northern Motor Group,efd1e1c6-f227-4b2f-b36d-19880bdba0e0,medium,Mapped by known dealership/group naming rule; review before applying.,d81a3fb3-bc7b-4066-b72a-9209db1bfb67,95432804-a61f-4877-9c44-95f3a38d695e
Northern Jeep,171496086217571,northernjeepbundoora,17841403226758397,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Northern Motor Group,efd1e1c6-f227-4b2f-b36d-19880bdba0e0,medium,Mapped by known dealership/group naming rule; review before applying.,6c7c58c9-03ff-444d-8940-55700a1d6418,08aacd62-5ff9-4b5a-a307-d8fdb8f3ed7d
Northern KGM & South Morang KGM,111112297257838,northernsouthmorangkgm,17841438253075966,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Northern Motor Group,efd1e1c6-f227-4b2f-b36d-19880bdba0e0,medium,Mapped by known dealership/group naming rule; review before applying.,63f2af60-0bfd-40a0-8edd-c130af798ff4,57e4b073-7d1d-4a15-9566-fbc650114294
Northern Kia,1542153776002237,northernkiabundoora,17841419546600842,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Northern Motor Group,efd1e1c6-f227-4b2f-b36d-19880bdba0e0,medium,Mapped by known dealership/group naming rule; review before applying.,d44a173a-db5c-47ad-869f-26631a663e29,b3ed6570-4056-4555-b90f-5c4d49833509
Northern MG & South Morang MG,1676117162473609,northernsouthmorangmg,17841408178626738,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Northern Motor Group,efd1e1c6-f227-4b2f-b36d-19880bdba0e0,medium,Mapped by known dealership/group naming rule; review before applying.,b0174d81-d698-42c1-8389-3413e37ccfc0,59389fc4-bd9d-42d5-a915-2a14d85ffb8d
Northern Nissan,416338655187772,northernnissan,17841403299208388,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Northern Motor Group,efd1e1c6-f227-4b2f-b36d-19880bdba0e0,medium,Mapped by known dealership/group naming rule; review before applying.,a1e76597-e6e5-4135-8ecc-8ff408827426,66fcadea-72ed-44f8-9178-15e926d3b9bc
Northern Ram,2566837686737116,northernrambundoora,17841413820880197,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Northern Motor Group,efd1e1c6-f227-4b2f-b36d-19880bdba0e0,medium,Mapped by known dealership/group naming rule; review before applying.,00ace918-3ba6-47d5-887b-5695839e4893,83cbf218-d612-4f44-9c14-ff8f7d28eca7
Omoda Jaecoo South Morang,683681668167511,omodajaecoosouthmorang,17841476066180285,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Northern Motor Group,efd1e1c6-f227-4b2f-b36d-19880bdba0e0,medium,Mapped by known dealership/group naming rule; review before applying.,f358c828-495a-4da7-ae90-5abe160e9b9d,4c2d69a2-2872-4218-91d2-3728cee57c39
South Morang GWM,1049165544946808,,,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Northern Motor Group,efd1e1c6-f227-4b2f-b36d-19880bdba0e0,medium,Mapped by known dealership/group naming rule; review before applying.,80b579e5-7153-4b35-b343-686c14a20f0e,
South Morang Motor Group,1325235824215487,southmorangmotorgroup,17841409190422051,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Northern Motor Group,efd1e1c6-f227-4b2f-b36d-19880bdba0e0,medium,Mapped by known dealership/group naming rule; review before applying.,76b64b92-e5c7-45c3-b391-23b65f931ff5,5610e6f7-2a0b-4301-ade9-5bea98f64ab5
South Morang Value Cars,945074662032760,,,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Northern Motor Group,efd1e1c6-f227-4b2f-b36d-19880bdba0e0,medium,Mapped by known dealership/group naming rule; review before applying.,be40949b-3d21-41bc-a134-f4935aa6f065,
Sale Hyundai,345139172024636,salehyundai_,17841468052935147,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Sale Motor Group,4f5b98ff-77b4-4dfa-8ade-21821cce41e7,medium,Mapped by known dealership/group naming rule; review before applying.,911b28f5-3699-4078-8820-51e9e85396c1,7978a8d0-2bcf-4d53-803f-b4f7242666ef
Sale Nissan,365219673337118,salenissan_,17841467507072372,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Sale Motor Group,4f5b98ff-77b4-4dfa-8ade-21821cce41e7,medium,Mapped by known dealership/group naming rule; review before applying.,31861309-9bb6-48c9-a616-4c8d7d003689,7054effb-f9da-43ff-8d99-bf7f8273cc88
Waverley Deepal,744744588728451,waverleydeepal,17841477315791792,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Waverley Motor Group,4231d4fb-8ad4-400b-8e15-3893c2ea07ba,medium,Mapped by known dealership/group naming rule; review before applying.,9fb4ac80-99cd-47dc-9f90-e7ecf127c4fd,1d4e6120-eaa2-4430-bed9-8daeb433b5c5
Waverley Foton,822066034315408,waverleyfoton,17841476817688978,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Waverley Motor Group,4231d4fb-8ad4-400b-8e15-3893c2ea07ba,medium,Mapped by known dealership/group naming rule; review before applying.,7b6ee5a7-665e-4692-8321-b9892a6684bd,b177fdda-e339-498c-b7ec-1cecdc113d68
Frankston GMSV,391546827366403,,,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Westernport Ford,7807b3e1-5567-4c44-b4a9-7042f3edb0d0,medium,Mapped by known dealership/group naming rule; review before applying.,1b4fd5f3-1023-45d4-9834-dd9ac137c735,
Frankston Renault,110757865216017,frankstonrenault,17841438184366628,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Westernport Ford,7807b3e1-5567-4c44-b4a9-7042f3edb0d0,medium,Mapped by known dealership/group naming rule; review before applying.,dcc1eca1-fffe-4255-ba1f-98484d96818d,c497337c-7a98-45f8-9f80-d84be006425c
"Frankston, Mornington & Westernport Ford",1813975222203267,fmwford,17841402950705228,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,Westernport Ford,7807b3e1-5567-4c44-b4a9-7042f3edb0d0,medium,Mapped by known dealership/group naming rule; review before applying.,72bbe391-f0f6-46b4-8156-90159c060695,81f61d0c-0426-4ecf-b217-c3294c16b795
ADME,128078980609263,adme_advertising,17841405686966402,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,,,manual_review,No safe client-name/group rule matched; leave unchanged until reviewed.,158d4c05-2924-4e36-a5de-3cf4c1c32c75,6b25d1e3-250e-40ed-904b-0ae36ad42b61
BYD Wodonga,1094340800434377,,,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,,,manual_review,No safe client-name/group rule matched; leave unchanged until reviewed.,fe16dfb0-3888-43c7-b975-5d12cb5d92e5,
Geely Deer Park,550100004861616,geelydeerpark,17841472645987570,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,,,manual_review,No safe client-name/group rule matched; leave unchanged until reviewed.,5ee46dfe-d738-44a0-89ad-cc942e4a021c,178d676b-1143-486f-964e-5af256feb40e
Knox GWM Haval,110115071245259,knoxgwmhaval,17841448123091222,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,,,manual_review,No safe client-name/group rule matched; leave unchanged until reviewed.,e50d37d9-cd93-450e-ae6e-7494b10fa449,9b7ec77a-4ecb-4c42-9166-217b6b3e12d7
My Business,219610311232312,,,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,,,manual_review,No safe client-name/group rule matched; leave unchanged until reviewed.,9d8fa126-3cd7-4813-8732-0dc55651bfd8,
My Business,177829625419567,,,Arctic Campers,6ff24c19-b238-465e-a4e2-fba84e8a4f42,,,manual_review,No safe client-name/group rule matched; leave unchanged until reviewed.,32b2da7c-a9a6-4665-8c9c-826caf41c7c6,
